Task ID, Time Spent (Hrs), User ID, End Date/Time, Start Date/Time
21, 0.099, Johan, 2009-05-21 13:07:53, 2009-05-21 13:01:57
23, 0.066, Johan, 2009-05-21 13:12:32, 2009-05-21 13:08:33
21, 0.274, Johan, 2009-05-21 13:29:00, 2009-05-21 13:12:33
33, 0.006, Johan, 2009-05-21 13:33:15, 2009-05-21 13:32:52
34, 0.044, Johan, 2009-05-21 13:36:06, 2009-05-21 13:33:27
31, 0.057, Johan, 2009-05-21 13:39:38, 2009-05-21 13:36:14
36, 0.011, Johan, 2009-05-21 13:40:25, 2009-05-21 13:39:45
37, 0.073, Johan, 2009-05-21 13:45:00, 2009-05-21 13:40:36
39, 0.050, Johan, 2009-05-21 13:48:26, 2009-05-21 13:45:27
41, 0.062, Johan, 2009-05-21 13:52:59, 2009-05-21 13:49:16
42, 0.208, Johan, 2009-05-21 14:05:49, 2009-05-21 13:53:19
45, 0.014, Johan, 2009-05-21 14:06:59, 2009-05-21 14:06:08
42, 0.028, Johan, 2009-05-21 14:08:45, 2009-05-21 14:07:02
31, 0.043, Johan, 2009-05-21 14:11:21, 2009-05-21 14:08:48
42, 0.080, Johan, 2009-05-21 14:16:11, 2009-05-21 14:11:22
46, 0.038, Johan, 2009-05-21 14:18:35, 2009-05-21 14:16:17
34, 0.082, Johan, 2009-05-21 14:25:35, 2009-05-21 14:20:40
48, 0.007, Johan, 2009-05-21 14:26:02, 2009-05-21 14:25:35
49, 0.045, Johan, 2009-05-21 14:28:46, 2009-05-21 14:26:05
50, 0.216, Johan, 2009-05-21 14:42:06, 2009-05-21 14:29:10
51, 0.051, Johan, 2009-05-21 14:47:55, 2009-05-21 14:44:53
39, 0.165, Johan, 2009-05-21 15:03:49, 2009-05-21 14:53:56
51, 0.074, Johan, 2009-05-21 15:11:16, 2009-05-21 15:06:48
29, 0.002, Johan, 2009-05-21 15:11:45, 2009-05-21 15:11:39
52, 0.155, Johan, 2009-05-21 15:21:17, 2009-05-21 15:12:00
54, 0.065, Johan, 2009-05-21 15:27:21, 2009-05-21 15:23:25
55, 0.175, Johan, 2009-05-21 15:38:15, 2009-05-21 15:27:45
56, 0.137, Johan, 2009-05-21 15:46:46, 2009-05-21 15:38:34
54, 0.074, Johan, 2009-05-21 15:51:21, 2009-05-21 15:46:55
56, 0.058, Johan, 2009-05-21 15:54:52, 2009-05-21 15:51:23
54, 0.047, Johan, 2009-05-21 15:57:47, 2009-05-21 15:54:57
55, 0.018, Johan, 2009-05-21 15:58:52, 2009-05-21 15:57:48
54, 0.010, Johan, 2009-05-21 15:59:31, 2009-05-21 15:58:55
52, 0.083, Johan, 2009-05-21 16:04:37, 2009-05-21 15:59:38
57, 0.001, Johan, 2009-05-21 16:08:45, 2009-05-21 16:08:43
57, 0.001, Johan, 2009-05-21 16:09:00, 2009-05-21 16:08:56
52, 0.084, Johan, 2009-05-21 16:14:11, 2009-05-21 16:09:10
